Time_1,Time_2,Time_3
3001,3494,3640
3004,3514,3613
2996,3499,3568
3008,3500,3563
3013,3525,3631
2994,3496,3611
2997,3516,3623
3013,3481,3606
2992,3511,3620
3013,3532,3587
3016,3528,3631
3016,3494,3611
2989,3506,3576
3011,3527,3601
3010,3530,3630
2993,3514,3605
2994,3495,3618
3005,3513,3647
3001,3531,3613
3023,3494,3590
3017,3500,3597
2987,3508,3601
3006,3501,3583
3006,3498,3579
3008,3503,3641
2982,3498,3595
2992,3495,3644
3002,3473,3597
2987,3510,3581
3007,3487,3610
3013,3483,3598
3007,3529,3568
2995,3507,3610
3004,3504,3583
3010,3485,3607
2998,3522,3640
3010,3505,3594
2987,3499,3612
3006,3494,3596
3014,3502,3602
2985,3495,3610
3026,3499,3604
3002,3489,3633
3018,3513,3619
3009,3481,3581
3017,3511,3626
3016,3509,3601
3003,3505,3633
2999,3510,3624
2979,3477,3627
3018,3529,3609
2999,3485,3609
3002,3494,3612
3006,3543,3585
2992,3484,3587
3009,3498,3615
3021,3507,3613
2977,3517,3586
2994,3494,3643
3000,3487,3611
3010,3501,3587
3025,3495,3567
3003,3516,3605
3008,3503,3590
3013,3520,3601
3002,3498,3599
2992,3474,3575
3003,3511,3609
3005,3520,3587
3013,3504,3592
3022,3487,3595
3005,3509,3565
3009,3512,3644
3009,3503,3608
3011,3519,3608
3000,3524,3591
3020,3511,3619
2998,3515,3604
2993,3497,3621
3010,3503,3635
2985,3515,3586
3013,3504,3609
3015,3485,3616
3011,3528,3577
3004,3495,3604
3005,3494,3602
3007,3524,3620
3003,3504,3589
3003,3510,3646
3020,3525,3605
3010,3504,3593
3021,3499,3626
2993,3506,3586
2991,3500,3609
2980,3490,3566
2998,3499,3618
3010,3490,3598
3009,3511,3622
3013,3501,3576
3003,3501,3603
2998,3515,3590
3005,3504,3602
3017,3533,3615
2991,3499,3591
3010,3501,3581
2993,3520,3651
2998,3493,3567
3004,3514,3590
3007,3520,3592
3015,3527,3596
2999,3486,3585
3002,3479,3591
2988,3505,3612
2996,3505,3596
2994,3494,3611
2994,3498,3587
3007,3478,3618
3004,3510,3615
3011,3519,3609
3033,3489,3592
2994,3507,3622
3001,3528,3636
3006,3495,3592
2995,3476,3613
3009,3499,3598
3025,3511,3572
3004,3499,3627
3029,3521,3610
3001,3490,3612
3006,3523,3608
2991,3481,3569
3023,3524,3583
2982,3484,3585
2998,3460,3564
2990,3502,3605
2994,3524,3588
3018,3494,3591
3001,3508,3575
3004,3489,3621
3009,3479,3641
3020,3503,3585
3009,3499,3609
3025,3509,3599
3017,3520,3587
3001,3521,3602
3012,3502,3610
3001,3521,3607
3016,3478,3593
3002,3485,3638
3000,3507,3622
2992,3493,3610
3007,3494,3584
3007,3521,3591
3011,3500,3622
3011,3487,3622
3001,3529,3592
3015,3502,3616
2995,3505,3621
3006,3520,3629
3023,3526,3617
3001,3543,3664
3005,3517,3602
3001,3507,3580
2989,3497,3630
3011,3514,3610
3000,3518,3621
3009,3500,3619
3009,3491,3597
2994,3475,3595
3008,3515,3600
3022,3497,3594
3010,3502,3586
2999,3529,3633
3010,3492,3627
3000,3505,3611
3003,3491,3632
3002,3519,3622
2996,3487,3551
2994,3500,3602
2993,3504,3627
3014,3518,3614
3003,3489,3591
2985,3491,3613
2999,3499,3635
2987,3521,3592
3002,3530,3592
3007,3485,3618
3005,3496,3608
3012,3488,3560
3005,3505,3607
2990,3534,3592
2988,3509,3593
3009,3485,3578
3030,3501,3600
3011,3507,3604
3000,3506,3604
3004,3521,3592
3026,3495,3619
3015,3502,3585
3009,3511,3630
3016,3505,3591
3021,3527,3603
3031,3475,3621
3000,3515,3564
3005,3483,3624
3013,3506,3600
3004,3499,3606
3008,3501,3630
3015,3529,3594
2993,3525,3602
3005,3521,3592
3012,3485,3603
3008,3527,3586
3001,3486,3552
2979,3493,3588
2993,3508,3568
2999,3511,3608
3015,3494,3596
2999,3511,3623
2995,3517,3601
3022,3488,3602
3003,3488,3585
3015,3490,3616
2998,3523,3598
3029,3528,3604
2999,3503,3560
3010,3521,3614
2991,3518,3611
3007,3495,3625
3015,3541,3593
2997,3503,3602
3006,3493,3595
3018,3500,3572
2992,3505,3621
3008,3513,3588
3011,3519,3608
2999,3478,3618
3017,3542,3607
3005,3480,3624
3014,3502,3615
2997,3478,3616
3017,3498,3620
3005,3497,3610
3014,3513,3606
3020,3496,3608
3007,3502,3606
3003,3493,3633
3018,3494,3623
2998,3513,3615
2992,3512,3600
2989,3513,3586
2994,3510,3590
3009,3486,3586
3025,3491,3633
3029,3503,3584
3002,3509,3577
3002,3503,3575
3002,3504,3639
3022,3502,3640
3003,3500,3613
2998,3490,3613
3000,3524,3640
2994,3526,3588
3015,3539,3602
3005,3511,3602
3007,3522,3620
2999,3490,3606
3021,3489,3612
3024,3513,3600
3002,3539,3617
3005,3512,3605
3005,3506,3606
3025,3513,3627
3018,3512,3611
3016,3500,3603
3010,3504,3595
3005,3509,3582
2998,3498,3606
3000,3509,3581
3013,3478,3628
3000,3527,3598
2997,3481,3599
2984,3493,3629
3005,3523,3588
3017,3503,3616
3007,3517,3630
2999,3513,3611
2999,3510,3595
3005,3501,3593
2991,3496,3639
3003,3502,3584
3002,3511,3576
3008,3503,3606
3009,3505,3606
3007,3510,3580
3037,3501,3581
3011,3516,3621
3005,3503,3614
3001,3530,3593
3015,3481,3610
3004,3508,3611
3002,3528,3634
3011,3509,3594
3012,3515,3574
3002,3505,3598
3003,3533,3599
2997,3502,3587
3003,3518,3645
3009,3491,3619
3002,3515,3641
3013,3505,3628
3010,3488,3573
3006,3517,3598
2987,3522,3615
3022,3496,3626
3014,3513,3570
3007,3508,3602
3029,3501,3620
2996,3523,3605
2987,3487,3619
3012,3516,3570
3021,3513,3602
3012,3499,3601
3006,3492,3610
2993,3482,3605
3014,3495,3606
3019,3520,3613
3002,3504,3577
3000,3476,3582
2998,3494,3600
2996,3498,3608
3002,3468,3641
3000,3527,3603
3023,3533,3582
3017,3476,3608
3016,3494,3599
3005,3482,3620
3020,3509,3605
3031,3494,3597
2992,3495,3609
2994,3491,3620
3004,3484,3602
2996,3522,3597
3007,3524,3604
2988,3505,3601
3009,3502,3573
2998,3510,3618
3010,3533,3606
3016,3515,3623
3016,3466,3581
2997,3523,3623
3001,3478,3594
3017,3519,3649
3007,3483,3601
3000,3504,3595
2996,3495,3601
3009,3496,3579
3011,3505,3607
3014,3488,3569
3017,3507,3604
2992,3525,3611
3016,3501,3574
3008,3520,3602
3011,3472,3596
3006,3511,3630
2984,3509,3604
3020,3502,3605
3011,3518,3620
2990,3481,3645
3003,3494,3579
3011,3526,3603
3005,3496,3593
3017,3491,3650
3016,3480,3592
2997,3508,3619
2991,3488,3591
3021,3506,3600
2998,3525,3627
2997,3516,3590
3003,3526,3639
3013,3490,3627
3006,3504,3615
3010,3498,3611
3009,3541,3612
3013,3490,3622
3012,3498,3600
3013,3505,3599
2993,3511,3615
3007,3526,3589
2987,3506,3596
3014,3488,3609
3004,3502,3619
2989,3508,3662
3011,3471,3619
3026,3491,3577
3006,3527,3588
3008,3535,3600
2986,3498,3579
3023,3493,3604
3000,3487,3618
2998,3514,3559
2993,3502,3614
3002,3504,3576
2992,3485,3617
3008,3528,3589
3001,3494,3620
2993,3507,3570
2994,3505,3631
2993,3487,3613
3002,3521,3588
2999,3498,3604
3014,3503,3626
3013,3507,3612
3005,3503,3637
2984,3498,3599
3021,3508,3633
3005,3500,3631
3010,3521,3583
3014,3506,3571
2998,3504,3595
3027,3518,3603
2999,3510,3618
2994,3496,3612
3030,3517,3621
2989,3504,3594
3008,3478,3584
3011,3515,3605
3013,3506,3615
3004,3525,3612
3014,3519,3584
3017,3485,3600
3026,3522,3610
2997,3510,3579
3018,3519,3591
3019,3498,3594
3008,3495,3570
3013,3493,3603
3007,3510,3622
2996,3526,3564
3024,3505,3571
2988,3508,3578
2998,3501,3602
3000,3508,3578
3029,3506,3602
3001,3501,3596
3012,3510,3634
2989,3527,3585
3012,3475,3593
3015,3482,3581
3012,3543,3618
3015,3524,3581
3018,3505,3578
2995,3509,3562
3015,3491,3591
3000,3493,3599
3010,3504,3620
3006,3518,3584
3005,3517,3578
2991,3532,3624
2989,3496,3613
3004,3498,3640
3003,3514,3628
3007,3506,3610
3003,3487,3591
2996,3509,3594
3016,3491,3603
3001,3510,3583
3018,3508,3602
3002,3502,3613
3007,3536,3585
3010,3490,3564
2998,3507,3602
3017,3502,3607
3014,3487,3615
3003,3517,3603
2990,3494,3602
3003,3519,3616
3024,3509,3585
3010,3504,3608
3001,3521,3605
3004,3507,3608
3020,3533,3635
3006,3486,3627
3019,3520,3603
3015,3513,3606
2998,3496,3569
3000,3504,3606
3015,3478,3586
2994,3472,3591
3021,3525,3622
2978,3515,3601
2991,3512,3598
3020,3518,3573
3012,3493,3602
3004,3515,3588
3006,3492,3611
2996,3485,3600
3000,3504,3593
3002,3493,3591
3010,3471,3589
3012,3497,3610
3002,3537,3612
3003,3481,3584
2999,3515,3595
3015,3502,3626
3000,3509,3593
2993,3498,3566
2990,3511,3608
3014,3472,3613
3016,3513,3573
3011,3508,3581
3007,3504,3595
2993,3495,3628
2987,3507,3609
2977,3520,3589
3002,3511,3577
3010,3477,3606
3008,3496,3604
3031,3501,3589
3002,3527,3575
2984,3480,3607
3015,3530,3593
3000,3477,3618
2999,3501,3620
2992,3549,3603
3009,3500,3613
3014,3510,3582
3011,3502,3574
3019,3519,3597
3011,3518,3584
3010,3487,3597
3008,3501,3626
3002,3497,3573
3007,3531,3577
3010,3487,3607
3005,3537,3622
2995,3506,3579
3026,3492,3625
3007,3513,3621
3004,3499,3587
3004,3508,3601
3024,3496,3584
3029,3493,3588
3014,3502,3625
3027,3518,3584
2997,3526,3606
3006,3493,3587
3008,3525,3591
3026,3502,3593
3024,3466,3630
3000,3508,3606
3007,3501,3616
3004,3514,3595
2997,3510,3589
3006,3494,3595
3002,3505,3613
3016,3493,3605
3013,3484,3629
3012,3514,3567
2988,3533,3615
3014,3482,3594
3017,3503,3574
2999,3504,3626
3015,3513,3648
3000,3535,3598
2998,3502,3592
3005,3508,3609
3007,3516,3568
3014,3519,3613
3000,3515,3605
3022,3505,3612
2984,3522,3617
2996,3513,3599
3009,3484,3576
2997,3500,3587
3001,3510,3603
2994,3495,3604
2998,3465,3590
2981,3493,3591
3013,3496,3656
3015,3496,3637
3006,3520,3624
3001,3510,3621
3007,3502,3613
3012,3497,3624
3025,3531,3602
3007,3492,3598
3007,3499,3627
3007,3510,3643
3004,3512,3593
3018,3492,3612
3012,3518,3604
3013,3531,3601
2997,3503,3632
3017,3503,3583
3009,3475,3612
2995,3498,3590
3007,3506,3619
3017,3494,3628
3004,3490,3594
3009,3507,3610
3029,3508,3614
3000,3499,3592
3001,3535,3607
3002,3510,3594
3000,3530,3627
2995,3504,3601
3011,3501,3629
3003,3487,3583
2994,3531,3588
3016,3508,3603
2999,3504,3597
2985,3507,3578
3014,3504,3600
3013,3519,3625
2993,3508,3576
2992,3497,3608
3008,3492,3612
2992,3512,3605
2988,3502,3578
2985,3506,3614
2996,3499,3619
2995,3502,3613
3019,3469,3600
2994,3509,3612
3010,3501,3604
3003,3503,3606
3005,3510,3621
3000,3478,3625
3013,3494,3613
3007,3517,3620
2998,3532,3641
3000,3498,3608
3005,3516,3607
3012,3521,3626
2996,3537,3619
3018,3482,3605
2984,3510,3600
2997,3507,3597
3002,3511,3613
3013,3492,3570
3009,3475,3635
2996,3511,3627
3012,3531,3637
3002,3503,3616
3000,3505,3595
3012,3499,3595
3017,3525,3577
2998,3496,3603
3021,3495,3609
3005,3487,3593
2991,3495,3618
3009,3497,3571
3008,3491,3629
3000,3487,3598
3012,3505,3594
2993,3514,3627
2994,3520,3604
3007,3495,3605
3010,3505,3600
3009,3524,3589
3002,3482,3614
3025,3514,3592
3005,3506,3618
3022,3517,3622
2994,3502,3617
3001,3507,3602
3022,3503,3618
2992,3490,3631
3029,3482,3576
3009,3483,3605
3020,3496,3591
3000,3518,3583
3021,3485,3623
3024,3497,3594
2998,3499,3613
3013,3499,3586
3002,3494,3605
2981,3502,3559
2998,3517,3616
3003,3506,3567
3023,3463,3619
3006,3508,3636
3006,3537,3588
3024,3504,3619
3019,3497,3646
2999,3502,3603
3012,3513,3603
2988,3537,3613
3011,3506,3621
2990,3518,3599
3002,3508,3613
3000,3508,3616
3001,3502,3610
3010,3508,3625
3005,3496,3602
2994,3509,3597
3016,3482,3615
3011,3498,3576
2984,3532,3615
3010,3491,3588
3021,3487,3617
3016,3474,3622
3012,3471,3643
3007,3497,3609
2994,3495,3588
3012,3531,3618
2991,3483,3602
2998,3498,3578
3023,3498,3640
2991,3516,3591
3018,3515,3570
2981,3502,3609
2999,3528,3590
2986,3505,3617
2998,3530,3575
3021,3512,3584
2989,3459,3625
2997,3520,3596
2993,3522,3607
3006,3533,3564
3015,3544,3627
3002,3498,3602
3011,3513,3596
2990,3495,3592
3007,3538,3629
2998,3538,3616
3010,3493,3647
3018,3488,3585
3025,3493,3617
3019,3530,3610
3020,3513,3605
3000,3483,3610
2992,3496,3614
2995,3510,3600
2999,3488,3594
3020,3516,3609
3017,3518,3614
3021,3498,3573
3006,3521,3588
3018,3490,3630
3014,3495,3601
3015,3519,3616
3014,3527,3597
3001,3504,3592
3002,3501,3567
3004,3501,3610
2999,3510,3535
3012,3484,3600
2996,3477,3629
3016,3497,3594
3008,3498,3614
3019,3511,3587
2998,3511,3560
3003,3511,3630
2999,3504,3632
3014,3521,3595
3006,3491,3610
3008,3494,3616
3010,3513,3652
3006,3511,3582
2992,3500,3588
3004,3510,3581
3016,3511,3608
3016,3515,3619
3009,3487,3598
2997,3524,3628
3006,3501,3621
2998,3486,3644
3008,3498,3637
3012,3505,3634
2999,3520,3634
2986,3467,3584
3007,3495,3584
3004,3481,3613
3009,3497,3597
3031,3508,3579
3012,3497,3623
2991,3516,3594
2982,3505,3597
3010,3486,3560
3004,3498,3641
3015,3511,3582
2998,3502,3623
3004,3521,3609
3007,3505,3625
2996,3508,3584
3005,3510,3585
3012,3497,3648
3000,3519,3568
2989,3514,3571
3009,3537,3624
3017,3478,3614
2995,3496,3612
3011,3492,3611
3025,3502,3594
3017,3506,3605
3002,3491,3609
3012,3493,3620
2999,3521,3590
3015,3511,3593
2986,3492,3588
3009,3504,3569
2999,3498,3619
3011,3487,3608
3008,3514,3600
3008,3510,3613
3014,3500,3605
3008,3538,3594
3017,3504,3607
3003,3514,3597
2990,3481,3624
3004,3492,3546
3012,3483,3595
3002,3501,3599
2996,3498,3571
3008,3550,3625
3004,3509,3624
2993,3531,3600
3008,3504,3637
2991,3518,3607
2983,3492,3568
2991,3519,3603
2980,3517,3606
2999,3467,3620
2990,3527,3620
3013,3506,3596
2994,3500,3615
3009,3501,3608
3031,3505,3612
2984,3488,3604
3007,3533,3627
3007,3507,3636
2993,3499,3614
2978,3487,3601
2990,3491,3613
2992,3511,3574
3006,3500,3626
2993,3484,3586
3016,3524,3603
3008,3497,3619
3001,3492,3590
3014,3490,3608
2999,3534,3610
3015,3470,3674
3001,3510,3638
3010,3486,3590
2997,3520,3620
2991,3490,3610
3007,3508,3585
3028,3474,3558
3004,3503,3597
3017,3530,3601
3005,3484,3629
2996,3506,3603
3005,3519,3609
3007,3486,3611
3006,3514,3613
2998,3513,3632
3014,3479,3643
3008,3495,3577
2999,3500,3595
3011,3506,3629
3003,3512,3640
3007,3504,3576
3028,3516,3582
3002,3509,3605
3013,3487,3611
3004,3535,3606
3010,3513,3619
3011,3505,3595
3003,3514,3638
2982,3507,3603
3001,3505,3589
3018,3477,3628
2991,3518,3646
3008,3492,3571
3004,3522,3626
3023,3493,3585
3008,3473,3578
2998,3497,3605
3001,3516,3596
3013,3508,3623
3001,3524,3613
3014,3519,3595
3007,3500,3572
2994,3485,3601
2999,3496,3592
3026,3519,3626
3029,3513,3604
2998,3495,3605
2986,3473,3641
2997,3499,3598
3013,3505,3624
3010,3506,3587
3015,3499,3599
3002,3505,3629
2986,3487,3588
3008,3496,3636
3001,3506,3593
3019,3504,3598
3004,3514,3620
2988,3499,3593
3010,3494,3631
3010,3519,3590
3002,3532,3635
3000,3509,3628
3012,3519,3606
2991,3520,3597
3017,3521,3590
2999,3494,3614
3003,3509,3587
3000,3502,3572
3022,3496,3628
3008,3480,3588
2994,3511,3604
3011,3487,3616
3012,3496,3553
3002,3495,3630
2989,3469,3597
3008,3493,3608
3003,3522,3595
3015,3506,3564
3004,3505,3610
2998,3521,3566
3004,3507,3613
3011,3499,3591
3015,3516,3597
3020,3490,3622
2996,3501,3593
3009,3503,3588
2999,3503,3625
3000,3527,3573
3026,3462,3597
3010,3487,3590
3010,3501,3581
3010,3513,3590
3013,3515,3596
2994,3468,3555
3005,3502,3635
2993,3502,3613
2993,3530,3586
3013,3524,3590
2981,3503,3593
3003,3516,3627
3011,3505,3612
3013,3527,3586
2999,3518,3622
2983,3523,3577
3016,3506,3586
3002,3512,3622
3015,3505,3627
3009,3491,3580
2990,3502,3628
3003,3502,3574
3011,3493,3634
3000,3519,3629
2988,3514,3577
2986,3490,3593
3001,3514,3625
3017,3479,3593
2995,3512,3596
3019,3492,3570
2998,3514,3581
3011,3506,3592
3022,3502,3589
3013,3486,3640
2995,3504,3619
3004,3507,3618
3024,3508,3597
3006,3490,3597
3006,3504,3612
3016,3502,3605
3012,3516,3616
3013,3532,3643
3002,3533,3569
2997,3520,3601
3010,3485,3587
2998,3494,3586
3016,3507,3591
3008,3518,3618
3007,3519,3593
3003,3499,3629
2995,3490,3587
3025,3521,3637
3000,3484,3618
3012,3487,3594
3005,3512,3577
3007,3517,3613
2994,3483,3637
3011,3520,3627
2997,3508,3616
2992,3490,3616
2995,3502,3612
2999,3514,3602
3016,3525,3591
2995,3497,3572
3002,3507,3624
3026,3479,3600
2996,3507,3630
3008,3542,3610
3022,3490,3617
3013,3483,3619
3001,3492,3602
3013,3504,3629
2989,3513,3599
3015,3502,3598
3001,3503,3600
3007,3494,3601
3006,3516,3596
3014,3504,3608
3004,3503,3609
3013,3519,3621
2994,3496,3650
3012,3494,3626
3005,3493,3606
3012,3498,3575
2993,3531,3591
3026,3507,3594
3030,3506,3631
3011,3503,3563
3019,3500,3613
2990,3483,3637
2998,3512,3599
3011,3493,3594
3019,3506,3613
3003,3501,3590
3001,3478,3592
3001,3516,3614
3014,3516,3586
2987,3500,3609
3008,3503,3613
3019,3470,3594
2985,3536,3645
2993,3522,3571
3008,3530,3595
2997,3485,3652
3010,3516,3596
3008,3481,3616
3006,3478,3608
3003,3494,3640
2992,3491,3586
3000,3506,3603
3002,3508,3606
2992,3507,3633
3014,3530,3603
3019,3517,3577
2998,3501,3637
3008,3500,3590
3001,3516,3597
2989,3502,3612
3007,3510,3602
3010,3520,3564
3018,3504,3625
3005,3511,3629
3010,3513,3580
3001,3484,3633
3015,3501,3601
2986,3490,3580
3011,3506,3599
3015,3516,3603
2999,3507,3625
2998,3512,3587
2986,3525,3633
3005,3511,3613
3016,3477,3653
3006,3515,3609
3016,3509,3584
3003,3515,3599
2997,3500,3575
3002,3522,3607
2998,3508,3598
3014,3511,3642
3022,3515,3612
3019,3507,3584
2997,3497,3605
2988,3512,3627
3009,3501,3627
3014,3513,3614
2997,3512,3629
3008,3512,3620
2999,3503,3615
3028,3501,3649
3001,3506,3616
3003,3504,3582
3023,3499,3577
2999,3515,3610
3006,3491,3598
3023,3508,3615
2993,3498,3639
2994,3513,3592
2998,3489,3596
3034,3507,3610
3013,3498,3599
3002,3503,3580
3015,3493,3624
2991,3522,3608
2993,3518,3604
3017,3503,3590
3005,3514,3591
2987,3500,3609
3008,3516,3580
3020,3512,3610
3002,3512,3586
3001,3501,3595
3013,3524,3569
3022,3495,3607
2999,3500,3595
3011,3509,3624
3014,3502,3568
2995,3489,3588
2994,3512,3612
2996,3488,3590
2993,3507,3612
2993,3498,3592
2997,3539,3579
2992,3508,3583
2995,3521,3643
2993,3513,3591
3005,3477,3585
3006,3498,3601
3023,3518,3610
3014,3467,3592
2993,3474,3590
3004,3492,3585
2994,3543,3559
3007,3475,3629
3011,3500,3599
3002,3504,3628
3005,3505,3603
3017,3504,3610
2988,3537,3595
2987,3486,3618
2998,3502,3610
3034,3481,3581
3030,3528,3553
2999,3485,3580
3015,3480,3586
2995,3505,3617
3014,3515,3596
2998,3529,3560
3011,3520,3590
3013,3513,3552
3012,3516,3580
2998,3485,3605
3018,3505,3617
3008,3510,3602
3016,3521,3608
2997,3508,3618
2993,3491,3581
3012,3515,3596
3020,3510,3619
3010,3516,3582
2996,3481,3622
2990,3477,3608
3001,3529,3580
2983,3531,3631
3011,3532,3602
3000,3477,3594
3010,3507,3592
3007,3505,3592
3005,3492,3611
3002,3477,3617
3011,3499,3628
2990,3477,3630
3001,3501,3617
3005,3472,3601
3009,3498,3625
3012,3543,3626
3011,3515,3559
3021,3500,3587
3002,3517,3580
2992,3509,3563
3004,3510,3593
3009,3507,3625
3003,3517,3595
3022,3536,3607
3000,3505,3611
3017,3506,3630
2984,3483,3608
3014,3501,3588
3008,3507,3589
3011,3482,3608
2988,3488,3587
2999,3487,3641
3001,3502,3582
2999,3493,3614
3003,3485,3607
2991,3531,3594
3004,3505,3616
2991,3511,3609
3002,3509,3634
3007,3470,3594
2999,3525,3580
3018,3485,3621
2994,3504,3624
3008,3495,3608
3002,3530,3607
3021,3487,3590
3001,3507,3614
3012,3492,3628
2999,3495,3598
3012,3492,3604
2999,3521,3635
3001,3522,3597
2993,3505,3594
2996,3501,3611
3001,3495,3601
3011,3490,3637
3023,3483,3594
2995,3509,3613
3006,3503,3630
3015,3529,3620
2998,3501,3628
3003,3511,3613
3002,3530,3637
2995,3525,3620
3000,3491,3617
3023,3491,3606
3001,3514,3607
3008,3500,3596
3009,3511,3592
3013,3482,3613
3012,3489,3593
3021,3496,3597
2990,3505,3586
2991,3485,3611
2990,3508,3591
3010,3513,3593
3006,3487,3596
3009,3509,3608
3001,3506,3613
3006,3523,3626
2997,3525,3626
3013,3514,3596
2990,3502,3620
3009,3517,3611
3023,3506,3584
3001,3496,3637
2994,3500,3589
3015,3504,3630
3016,3516,3625
3009,3524,3602
3012,3482,3615
3015,3517,3602
3010,3478,3612
2998,3519,3637
3005,3501,3586
3015,3503,3603
3001,3497,3610
3004,3501,3608
3013,3510,3592
3015,3508,3630
3007,3488,3615
3014,3530,3602
2993,3513,3610
3009,3523,3606
3001,3519,3584
3008,3507,3584
2989,3476,3587
2986,3498,3653
3007,3507,3602
3007,3486,3599
3002,3498,3625
3015,3492,3605
2992,3502,3630
3018,3497,3621
3008,3485,3596
3002,3526,3607
3007,3466,3606
3021,3520,3567
3006,3520,3617
3015,3510,3600
2993,3510,3583
2995,3503,3596
3000,3484,3618
3000,3502,3613
2995,3507,3609
3005,3500,3619
3016,3497,3562
2997,3498,3601
3004,3487,3605
3022,3496,3590
2998,3513,3586
3001,3504,3596
2987,3521,3586
3024,3467,3643
3002,3512,3593
3011,3497,3575
3014,3493,3640
3011,3522,3605
2984,3509,3615
3000,3493,3627
2984,3538,3594
3013,3503,3611
3003,3531,3576
3010,3517,3601
3011,3524,3593
3004,3539,3594
3000,3493,3613
3004,3513,3625
2996,3511,3619
3003,3499,3592
2995,3522,3610
3001,3514,3637
2993,3516,3619
2994,3521,3589
3014,3497,3596
3001,3505,3604
2999,3492,3624
3000,3507,3581
3008,3500,3604
3007,3502,3608
3010,3490,3623
2999,3507,3619
3014,3489,3601
2995,3527,3616
3021,3488,3617
2989,3510,3642
3011,3515,3638
3007,3502,3581
3009,3485,3599
2992,3507,3601
3006,3493,3582
3010,3515,3619
3021,3505,3610
3006,3481,3589
3018,3509,3576
3003,3503,3613
3005,3536,3570
3010,3489,3590
3000,3489,3618
3011,3491,3629
3006,3511,3621
3007,3511,3600
3003,3517,3585
3020,3496,3623
3008,3495,3613
3022,3469,3589
