Time_1,Time_2,Time_3,Time_4,Time_5
3011,3509,3591,2502,4005
3000,3511,3631,2466,4008
2985,3523,3618,2487,4018
3007,3511,3619,2505,4011
2986,3512,3639,2505,3995
3007,3497,3570,2506,3993
3001,3487,3604,2519,4020
3007,3506,3625,2528,4024
2994,3512,3579,2495,3983
2992,3521,3603,2483,4002
2998,3511,3577,2502,3971
3002,3496,3574,2486,4051
3006,3499,3607,2483,4025
3002,3516,3612,2505,3998
3004,3500,3585,2508,4016
2994,3500,3620,2531,3996
3017,3498,3608,2513,3996
2990,3528,3639,2505,4001
3009,3491,3611,2501,3967
2997,3523,3630,2487,3986
3004,3525,3629,2492,4008
2989,3511,3572,2525,4010
3002,3500,3651,2513,4000
3002,3490,3621,2503,3993
3014,3497,3618,2502,4031
3011,3503,3605,2523,4046
2999,3520,3634,2476,4001
3002,3506,3587,2502,4036
3008,3521,3639,2510,3998
2995,3491,3615,2496,4001
2989,3508,3607,2500,4017
2985,3532,3653,2531,4006
3012,3519,3609,2511,3984
3004,3523,3597,2522,3999
3002,3490,3566,2509,3994
3010,3502,3606,2496,3992
3015,3507,3641,2502,4006
3007,3498,3585,2483,4003
3020,3500,3588,2519,3979
3012,3506,3618,2517,4028
2997,3514,3589,2505,4034
3002,3515,3567,2513,3997
2996,3501,3610,2491,4047
3017,3491,3639,2533,4020
3005,3506,3605,2500,3997
3006,3522,3570,2524,4005
3010,3522,3591,2513,4019
3002,3515,3609,2499,4024
2986,3510,3612,2494,4013
3002,3517,3586,2527,4027
3004,3514,3588,2501,4011
3000,3519,3634,2502,4009
3001,3492,3574,2505,4017
3011,3535,3571,2504,4000
3037,3513,3597,2531,3999
3004,3456,3581,2496,4003
3015,3512,3603,2504,3985
3006,3519,3638,2491,4017
2992,3519,3619,2513,3993
3006,3510,3606,2508,3988
3006,3497,3587,2508,4013
3001,3510,3637,2516,4014
3005,3521,3600,2525,4007
2988,3498,3589,2512,3988
2978,3508,3600,2505,4017
3006,3517,3599,2497,4065
2991,3488,3623,2488,4017
3012,3509,3579,2502,3957
3000,3513,3631,2544,4006
3005,3499,3613,2505,4005
3005,3518,3617,2512,3986
3025,3493,3616,2525,4023
3001,3487,3626,2512,3956
3003,3536,3575,2513,3997
3012,3466,3635,2470,4032
3009,3475,3628,2507,3963
3017,3517,3631,2493,4036
3014,3512,3597,2506,3970
3020,3492,3635,2508,4006
2996,3533,3591,2504,4008
3012,3502,3602,2510,4016
2999,3496,3563,2511,3976
3007,3508,3597,2493,3973
3020,3522,3636,2503,3970
3001,3508,3610,2484,4014
2994,3533,3608,2510,4031
3016,3499,3633,2522,4005
2996,3516,3623,2495,4052
3004,3506,3643,2521,3972
3003,3492,3565,2512,3985
3027,3510,3582,2516,3992
3001,3522,3623,2500,3995
3011,3517,3647,2501,4003
2995,3489,3611,2496,4050
2990,3490,3623,2481,4019
2996,3487,3588,2508,3996
3018,3474,3615,2490,4003
3013,3513,3593,2509,4013
2999,3507,3583,2511,4037
3004,3483,3646,2503,4008
3016,3528,3609,2503,4009
3001,3494,3575,2536,4007
3013,3514,3623,2504,4014
2983,3523,3606,2475,3973
3012,3496,3611,2513,3990
3009,3507,3614,2507,4017
3013,3491,3589,2502,4023
3008,3515,3595,2510,4011
3006,3517,3605,2490,3994
3008,3500,3601,2487,3998
3000,3513,3614,2473,4035
3015,3476,3592,2520,4029
2994,3504,3589,2491,4008
3010,3529,3600,2516,4005
3020,3519,3587,2492,4000
3007,3495,3611,2506,3994
2997,3502,3566,2551,4001
3006,3489,3593,2486,4030
3016,3514,3587,2524,4034
3014,3491,3585,2493,3986
3010,3513,3614,2509,3960
2996,3515,3601,2494,4006
3024,3469,3588,2504,3993
2999,3523,3586,2506,4030
3018,3525,3626,2518,3990
3017,3473,3590,2486,4050
3006,3516,3591,2493,3999
2995,3485,3586,2499,4015
3015,3517,3593,2501,4001
3004,3488,3596,2494,3996
3010,3488,3585,2513,4026
3009,3498,3594,2507,3999
3012,3512,3587,2523,4017
3025,3516,3592,2509,4027
3011,3485,3576,2520,4006
2993,3506,3589,2520,4061
3011,3549,3595,2498,4015
2987,3530,3592,2498,3996
3017,3516,3619,2522,3991
2997,3499,3594,2488,4000
3001,3481,3612,2512,4048
3015,3514,3614,2476,3997
3005,3539,3585,2512,4004
3009,3497,3652,2503,3991
2997,3503,3625,2493,4004
3014,3513,3585,2508,4033
3002,3517,3613,2492,4009
3008,3487,3647,2483,3991
3010,3522,3599,2478,4030
2992,3518,3597,2503,4021
3003,3494,3595,2496,4040
3023,3518,3608,2490,4010
3000,3508,3610,2484,4008
3024,3495,3580,2522,4009
3002,3548,3596,2507,3992
3014,3514,3634,2502,3977
2993,3511,3624,2490,3979
3010,3525,3616,2502,4009
3015,3501,3589,2502,3999
2998,3527,3644,2516,4000
3023,3495,3587,2502,3988
3006,3499,3628,2526,3996
3001,3510,3590,2517,4020
3006,3512,3613,2487,3998
3014,3495,3589,2524,4007
3001,3523,3615,2514,4013
3005,3524,3638,2505,3998
3002,3495,3633,2489,4009
2995,3513,3640,2508,3999
3006,3506,3618,2493,3986
3003,3497,3633,2501,3985
3012,3507,3635,2516,3980
3019,3518,3592,2485,4022
2998,3494,3596,2521,4010
3000,3506,3574,2498,3995
2998,3491,3616,2520,3996
3002,3492,3596,2514,3988
2999,3488,3571,2506,3991
3014,3498,3594,2498,4021
3002,3510,3606,2497,4056
3005,3524,3624,2491,3989
3001,3499,3594,2507,4016
2990,3493,3644,2487,4011
3016,3511,3550,2510,4002
3027,3515,3575,2514,4011
3004,3521,3599,2502,4008
3007,3486,3597,2520,4034
3018,3499,3602,2522,3985
2998,3468,3612,2492,3991
3006,3520,3629,2530,3996
3016,3465,3623,2510,4011
3015,3529,3585,2527,4004
3016,3531,3635,2515,4020
3004,3504,3562,2500,4000
3013,3497,3582,2502,3960
3005,3488,3611,2505,4028
3024,3497,3596,2512,3971
2999,3512,3607,2523,3986
3021,3512,3601,2500,4001
3003,3511,3605,2515,3968
3008,3484,3596,2505,3962
3018,3509,3627,2499,4019
3010,3486,3613,2528,4021
3015,3505,3586,2507,4021
3005,3479,3585,2535,4031
3000,3490,3609,2476,3994
3008,3492,3586,2495,3969
3015,3511,3607,2497,4034
3009,3506,3650,2475,3964
3015,3508,3599,2521,4015
3013,3487,3592,2505,4015
3025,3483,3575,2505,4007
3005,3485,3578,2487,3982
3007,3513,3596,2523,4002
3004,3522,3629,2513,4028
3002,3510,3576,2485,3990
3010,3500,3599,2526,4013
2997,3539,3562,2499,4009
3004,3508,3615,2500,3984
2998,3478,3611,2498,3989
2998,3485,3603,2503,3980
3004,3529,3619,2476,3947
3010,3513,3579,2495,4011
2994,3520,3607,2498,4019
3000,3479,3602,2502,4027
3001,3491,3622,2513,3986
2993,3498,3611,2487,3964
3007,3491,3626,2505,4019
3000,3497,3621,2507,3986
3020,3516,3628,2516,4025
2996,3498,3581,2490,4019
3007,3515,3603,2503,4044
2998,3505,3584,2545,4011
3015,3481,3610,2516,3994
3003,3498,3601,2495,4007
3013,3524,3618,2501,3947
3010,3530,3629,2508,4019
2993,3531,3611,2514,4018
3011,3522,3606,2498,4004
3005,3508,3602,2477,3974
3023,3528,3601,2468,4011
3002,3510,3603,2489,4004
3009,3510,3599,2510,4011
3000,3515,3597,2499,4016
3015,3515,3646,2530,3996
2988,3500,3574,2491,4012
2990,3497,3617,2518,3989
3010,3516,3610,2499,3954
2992,3518,3609,2562,3978
2991,3518,3620,2494,4010
2987,3494,3576,2519,4005
2996,3489,3617,2505,4018
3004,3499,3589,2500,3987
3012,3515,3617,2515,4035
2988,3499,3637,2510,4013
3010,3501,3599,2518,4022
2999,3498,3621,2512,3983
3015,3507,3621,2502,3995
2998,3510,3589,2494,4020
2988,3514,3617,2543,4014
3009,3491,3601,2493,4004
3007,3497,3610,2514,3975
3021,3488,3592,2508,3969
3005,3490,3638,2514,4009
3023,3492,3586,2513,3955
3007,3486,3576,2521,4028
2995,3492,3609,2490,3980
3017,3497,3598,2493,4002
3003,3479,3621,2530,3995
3012,3485,3608,2510,4022
3016,3497,3610,2497,4008
2981,3496,3604,2517,4017
3007,3490,3598,2479,3976
2995,3504,3639,2474,3995
3012,3505,3672,2525,3999
3013,3484,3596,2519,3970
3024,3523,3597,2491,3986
3002,3518,3609,2497,4004
2997,3542,3633,2526,4026
3002,3526,3617,2503,3993
2993,3516,3602,2493,3998
3004,3525,3606,2499,3996
3014,3512,3621,2513,4005
2985,3506,3619,2496,4019
3012,3489,3583,2491,4007
3003,3525,3607,2503,4016
3016,3523,3651,2495,4047
2999,3512,3623,2506,3968
3003,3509,3650,2475,4014
2997,3530,3592,2522,4037
2992,3502,3612,2494,4011
2985,3517,3619,2532,4020
2991,3519,3598,2511,4008
3007,3523,3629,2495,4012
3001,3505,3585,2515,4001
3012,3482,3616,2496,4032
3000,3506,3625,2482,3970
3010,3526,3572,2515,4027
3020,3524,3620,2505,4027
3007,3489,3588,2528,4023
3007,3520,3568,2479,4011
3008,3502,3612,2490,4014
2989,3514,3611,2523,3999
3010,3509,3584,2520,4022
3008,3518,3606,2516,4036
3000,3514,3589,2529,3998
3012,3505,3619,2528,4008
3002,3512,3596,2515,3997
2999,3522,3629,2484,4013
2997,3504,3616,2497,4006
3015,3508,3599,2492,4010
2989,3495,3562,2490,3975
3004,3497,3594,2528,4012
3017,3509,3598,2525,3982
3022,3516,3607,2483,3983
3007,3507,3606,2499,4004
3000,3509,3569,2483,3993
3008,3457,3581,2497,4032
2996,3488,3600,2508,4037
2999,3506,3616,2488,3999
3011,3500,3615,2489,4003
3019,3509,3596,2509,4013
3019,3525,3617,2503,4014
3009,3536,3640,2504,4009
3002,3540,3588,2524,3996
3004,3479,3604,2500,4009
3007,3484,3614,2495,3991
3011,3514,3603,2500,4000
2995,3477,3603,2529,3997
3009,3492,3642,2500,4016
2985,3501,3564,2490,4035
3007,3477,3586,2501,4017
3017,3501,3591,2487,4000
3010,3508,3541,2516,4023
2995,3487,3623,2488,3993
3002,3499,3595,2505,4003
3021,3499,3591,2515,3993
3015,3502,3622,2502,4009
2993,3510,3600,2470,4027
2993,3493,3619,2490,4051
3007,3503,3609,2535,3984
3008,3519,3596,2538,4003
2995,3504,3572,2504,3999
3004,3501,3653,2489,4033
2998,3480,3644,2518,4015
3011,3511,3644,2481,4003
3006,3489,3579,2514,4018
3000,3496,3616,2507,4014
3002,3479,3600,2501,3993
2992,3482,3612,2514,4016
3013,3487,3619,2489,3986
3013,3496,3566,2514,4011
3026,3494,3587,2509,3995
3009,3487,3607,2489,4041
2989,3506,3626,2504,3984
3010,3509,3562,2536,4001
3017,3507,3616,2478,4001
3009,3501,3618,2515,3986
2978,3493,3649,2517,4012
3005,3519,3605,2500,3972
3007,3504,3594,2519,4017
2996,3480,3614,2515,3990
3015,3495,3613,2490,3997
3010,3513,3603,2518,4022
2998,3472,3597,2517,4038
3000,3525,3612,2492,3989
3010,3495,3596,2479,4033
3010,3519,3597,2500,4001
3002,3491,3614,2495,4005
3007,3527,3626,2477,4031
2999,3477,3618,2526,4025
3017,3505,3609,2488,4014
3020,3492,3621,2505,4001
3014,3496,3598,2504,4002
3019,3501,3622,2493,3998
2999,3512,3614,2494,4052
2998,3505,3616,2508,4025
3026,3507,3615,2510,4002
3004,3515,3617,2471,4017
3011,3495,3630,2478,3989
3001,3517,3602,2527,4059
3008,3529,3596,2510,3989
3003,3508,3578,2529,3973
2998,3507,3618,2505,4017
3007,3510,3595,2504,4006
3025,3516,3618,2517,4010
3006,3498,3609,2489,3994
2997,3506,3616,2502,4015
3013,3516,3588,2508,4019
2996,3520,3620,2512,3998
2984,3528,3584,2488,4027
3006,3490,3612,2501,4007
3019,3516,3601,2504,4024
2988,3479,3636,2497,4002
2996,3524,3595,2469,4001
3004,3524,3598,2508,3989
3014,3540,3603,2484,4004
2986,3505,3592,2517,3964
2980,3506,3640,2463,4004
3014,3506,3590,2485,4017
2995,3504,3604,2463,4032
2998,3500,3581,2478,4002
2989,3511,3618,2484,4007
3005,3486,3629,2503,3997
3010,3501,3605,2496,4011
2989,3503,3615,2557,4027
3013,3469,3623,2503,4003
3009,3522,3572,2515,3970
3005,3503,3581,2508,4017
3012,3528,3612,2505,3996
3029,3501,3605,2475,4002
3008,3488,3572,2507,3957
3013,3513,3584,2481,4037
3008,3487,3588,2527,3984
2989,3494,3647,2504,4008
2998,3498,3584,2507,4022
3028,3508,3613,2513,4007
3023,3521,3624,2509,4004
3011,3507,3580,2483,4001
3000,3500,3600,2504,4016
2987,3501,3602,2517,3994
3006,3501,3597,2513,4003
2986,3474,3589,2535,3992
3002,3528,3615,2487,4022
3006,3493,3628,2495,4053
2997,3508,3628,2495,4004
3002,3507,3641,2492,3997
2993,3507,3608,2516,3979
3004,3478,3611,2482,4020
3013,3504,3569,2494,4005
3002,3507,3620,2479,4042
3016,3517,3619,2526,4003
3000,3486,3596,2521,4021
3024,3501,3592,2512,3963
3008,3514,3582,2513,4032
3001,3520,3588,2510,3980
3001,3504,3579,2487,3995
2995,3544,3601,2482,3979
3000,3509,3607,2514,4010
2983,3491,3576,2499,4003
2995,3489,3605,2495,3995
2985,3503,3589,2521,4012
2998,3530,3619,2533,4002
3002,3522,3619,2512,3996
2985,3499,3624,2495,4024
3003,3502,3578,2490,4004
3000,3511,3575,2533,3984
3004,3517,3618,2517,4016
3014,3503,3624,2531,3995
2982,3512,3591,2529,3994
2996,3497,3593,2511,4032
3002,3483,3619,2507,4009
3015,3478,3578,2473,3992
3003,3482,3613,2520,4003
3006,3495,3618,2488,3982
3002,3516,3599,2510,4029
3013,3515,3589,2502,4018
3030,3486,3614,2506,4042
3016,3500,3600,2509,3995
3014,3499,3613,2497,4021
3012,3481,3603,2530,4003
3014,3510,3612,2508,4029
3002,3524,3607,2480,3983
2994,3492,3590,2503,3983
3008,3520,3588,2522,4015
2993,3490,3616,2483,4019
3010,3497,3613,2490,3972
3002,3499,3597,2516,4001
3009,3505,3594,2502,4008
2994,3504,3569,2497,3998
3005,3484,3613,2517,3993
3014,3499,3622,2489,3999
2993,3521,3623,2518,3974
3009,3507,3604,2504,4010
2993,3520,3609,2501,4018
3001,3501,3624,2486,3981
3004,3503,3575,2495,4019
3011,3505,3587,2537,3992
3009,3491,3621,2480,4016
3009,3508,3598,2489,4054
3009,3510,3568,2493,3981
2994,3513,3584,2531,3987
3022,3481,3635,2490,4030
3010,3504,3590,2515,4003
2989,3503,3580,2500,4010
3021,3509,3600,2492,4000
2996,3502,3592,2506,3989
3025,3515,3622,2496,3966
2998,3494,3594,2499,3976
3001,3522,3642,2525,3981
3014,3503,3638,2506,4028
3019,3508,3590,2489,4010
2989,3517,3596,2502,3977
3015,3510,3598,2500,4025
3023,3517,3602,2505,4003
3006,3499,3628,2522,4017
3009,3494,3622,2499,4009
3003,3496,3645,2512,3996
2980,3503,3596,2495,3997
3015,3508,3605,2499,3987
2997,3521,3598,2476,4030
3009,3501,3603,2506,4013
3002,3498,3635,2508,3995
2998,3508,3604,2488,3988
3017,3502,3607,2498,4022
2992,3472,3620,2485,4037
3003,3505,3589,2503,4008
3012,3509,3611,2521,3993
3005,3500,3606,2471,3992
2997,3496,3625,2520,4006
3015,3494,3634,2510,3987
3010,3506,3623,2472,4034
2989,3466,3604,2502,3997
3017,3509,3592,2532,3994
3005,3513,3552,2511,4006
3001,3503,3654,2490,4038
2998,3490,3627,2498,3995
3007,3521,3624,2502,4003
3000,3497,3600,2523,4048
2993,3510,3628,2520,3987
3003,3498,3622,2520,3985
3010,3499,3655,2505,4018
2997,3521,3625,2501,3983
3006,3480,3582,2512,4010
3021,3500,3580,2505,3986
2993,3502,3611,2496,4007
3008,3494,3597,2513,3979
3002,3490,3594,2498,3969
2998,3531,3586,2516,3968
